Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Medicine_Name,RISKFAC
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,,
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,apply calamine,cover area with bandage,,use ice to compress itching,,
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,antacid,"Obesity, Connective tissue disorders, such as scleroderma."
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,Antidiarrhoeal,"Obesity, Connective tissue disorders, such as scleroderma."
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,Proton-pump inhibitor,"Obesity, Connective tissue disorders, such as scleroderma."
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,cold baths,anti itch medicine,consult doctor,eat healthy,"Ursodeoxycholic acid (UDCA)

","infections from viruses such as HIV, hepatitis, cytomegalovirus"
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,stop irritation,consult nearest hospital,stop taking drug,follow up,,
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,,
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,avoid open cuts,wear ppe if possible,consult doctor,follow up,,"Having unprotected sex,having another sexually transmitted infection
"
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,have balanced diet,exercise,consult doctor,follow up,,
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,Imodium,measles and immunodeficiencies put the patient at a higher risk for a gastrointestinal
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"Pepto-Bismol,",measles and immunodeficiencies put the patient at a higher risk for a gastrointestinal
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,switch to loose cloothing,take deep breaths,get away from trigger,seek help,,
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,meditation,salt baths,reduce stress,get proper sleep,,
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,meditation,reduce stress,use poloroid glasses in sun,consult doctor,antipsychotics,"Skipping meals, Too much or too little sleep, Stress, Smoking, Depression, anxiety, excessive alcohol"
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,meditation,reduce stress,use poloroid glasses in sun,consult doctor,analgesic,"Skipping meals, Too much or too little sleep, Stress, Smoking, Depression, anxiety, excessive alcohol"
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,meditation,reduce stress,use poloroid glasses in sun,consult doctor,stimulant,"Skipping meals, Too much or too little sleep, Stress, Smoking, Depression, anxiety, excessive alcohol"
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,Nonsteroidal anti-inflammatory drugs (NSAIDs),"Older age, stress on your neck, Neck injuries, Genetic factors, Smoking"
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,analgesic,"Older age, stress on your neck, Neck injuries, Genetic factors, Smoking"
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,massage,eat healthy,exercise,consult doctor,,
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,No medicine (consult doctor immediately),"Premature birth, Significant bruising during birth, Blood type, Breast-feeding, Race"
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,Chloroquine phosphate,"Availability of mosquito breeding site or stagnant water near the home, staying outdoors overnight.

"
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,,,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,Artemisinin-based combination therapies,"Availability of mosquito breeding site or stagnant water near the home, staying outdoors overnight.

"
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise,use neem in bathing ,consume neem leaves,take vaccine,avoid public places,Analgesic,People who haven't already had chickenpox.
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise,use neem in bathing ,consume neem leaves,take vaccine,avoid public places,Antihistamine,People who haven't already had chickenpox.
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,Analgesic,"Living or traveling in tropical areas, Prior infection with a dengue fever virus"
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos),eat high calorie vegitables,antiboitic therapy,consult doctor,medication,Chloramphenicol,"Work in or travel to areas where typhoid fever is established, Drink contaminated water"
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos),eat high calorie vegitables,antiboitic therapy,consult doctor,medication,Penicillin,"Work in or travel to areas where typhoid fever is established, Drink contaminated water"
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,,
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise,consult nearest hospital,vaccination,eat healthy,medication,,
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history,,,,,Consult nearest hospital,vaccination,eat healthy,medication,,
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,consult doctor,medication,eat healthy,follow up,,
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,stop alcohol consumption,rest,consult doctor,medication,,
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,,,,stop alcohol consumption,consult doctor,medication,follow up,,
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever,cover mouth,consult doctor,medication,rest,Isoniazid (antibiotics),"AIDS, Severe kidney disease, Cancer treatment, Drugs to prevent rejection of transplanted organs"
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,Nasal decongestants,"Children younger than 6, weakened immune system, Smoking"
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,Analgesic,"Children younger than 6, weakened immune system, Smoking"
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate,consult doctor,medication,rest,follow up,Penicillin,"Asthma, chronic obstructive pulmonary disease (COPD) or heart disease, Smoking, weakened immunity"
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate,consult doctor,medication,rest,follow up,Isoniazid (antibiotics),"Asthma, chronic obstructive pulmonary disease (COPD) or heart disease, Smoking, weakened immunity"
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus,,,,,,avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice,,
Heart attack, vomiting, breathlessness, sweating, chest_pain,,,,,,,call ambulance,chew or swallow asprin,keep calm,,intravenous,"Tobacco, old age, High blood cholesterol, Obesity, Diabetes, Stress, An autoimmune condition"
Varicose veins, fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,,,,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,no medicine (consult doctor immediately),"Older age, being woman, Family history, Obesity, Standing or sitting for long periods of time."
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties,reduce stress,exercise,eat healthy,get proper sleep,Levothyroxine,"Woman, older age, family history of thyroid, autoimmune disease, Received radiation to your neck"
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech,lie down on side,check in pulse,drink sugary drinks,consult doctor,Levothyroxine,"Taking too much insulin, skipping a meal, or exercising harder than usual."
